epoch,lr,train_loss,val_loss,train_accuracy,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,epoch_time_sec
1,0.001,0.4252617910061831,0.07350326322617608,0.8739572906239573,0.8390284512905722,0.978978978978979,0.9818325408919983,0.9668128707173088,0.9715190740070151,52.02324604988098
2,0.001,0.09314856501491936,0.0821221315972479,0.9728478478478478,0.9649788552278821,0.9778528528528528,0.9747850652571112,0.9625316622173717,0.9648649928971003,43.60187530517578
3,0.001,0.057031314582636966,0.07432921249111807,0.982982982982983,0.9790670791817128,0.9767267267267268,0.9765192642148567,0.9568946176974379,0.9620364230678562,41.61398124694824
4,0.001,0.05624389696293248,0.03419329923355264,0.9834417751084418,0.9783076792062625,0.9898648648648649,0.9953145635600786,0.9918990383719065,0.9934073597061566,41.12732982635498
5,0.001,0.0476122668799489,0.016355540222340117,0.9860694027360694,0.9822679151841598,0.9966216216216216,0.9966551155438824,0.9932747323735697,0.9947705821879947,41.77219533920288
6,0.001,0.03286168998070645,0.038322492950636465,0.9904487821154487,0.9877567118549714,0.9902402402402403,0.9909003159175832,0.9816316310017862,0.9854395081974103,41.84601402282715
7,0.001,0.028918658395620696,0.018518814605041255,0.9914080747414081,0.9903271070361039,0.9951201201201201,0.9957511946860134,0.9939561031130799,0.9946885182017596,42.44796371459961
8,0.001,0.03151907094791258,0.009790191721320068,0.9909075742409076,0.9904807326121041,0.996996996996997,0.9969227887557226,0.9952703949796973,0.9960241968361515,42.327767848968506
9,0.001,0.029390494610143477,0.021097421431034956,0.9917834501167835,0.9900660971154623,0.993993993993994,0.9951996030702754,0.9889071920757966,0.9916621231782774,41.26013994216919
10,0.001,0.02930517179389914,0.03707028015229331,0.9922839506172839,0.9905223787048603,0.9913663663663663,0.9888881678441735,0.98558194066915,0.9866790070955,42.345603227615356
11,0.0005,0.021957148538643233,0.07818277028355944,0.9933683683683684,0.9922196370945043,0.9819819819819819,0.9905881698034809,0.9864796193676376,0.9866561394874985,43.21779155731201
12,0.0005,0.0119384650180204,0.005779134040385434,0.9968301634968302,0.996329192945801,0.9984984984984985,0.9974189592197549,0.999228651408884,0.9982964871752867,41.720991373062134
13,0.0005,0.00438201136506869,0.0026517768283374826,0.9988321654988321,0.9990557943086701,0.9992492492492493,0.9995613249596038,0.9994706431237439,0.9995133903891423,42.44295597076416
14,0.0005,0.003345717257979291,0.006118545002095743,0.9989572906239573,0.9991047481283281,0.9977477477477478,0.9989373347929406,0.9989825581395348,0.9989479675766143,42.43069839477539
15,0.0005,0.006032849108401909,0.009320581686414448,0.9984567901234568,0.9983823761018442,0.9984984984984985,0.9991413188525692,0.998986146999713,0.9990568994701235,42.34259605407715
16,0.00025,0.006134739132507303,0.01054421117377505,0.9983316649983317,0.9979324111549596,0.9958708708708709,0.9974025032495045,0.9929645523153275,0.9948083007912524,42.184722661972046
17,0.00025,0.003559343413984841,0.0011706986872784203,0.9990824157490824,0.9990025052213307,0.9996246246246246,0.999816883354697,0.9997577519379846,0.999786321598507,42.335575342178345
18,0.00025,0.0018826027109758196,0.0038265642153215164,0.9995412078745413,0.9995319270828902,0.9992492492492493,0.9996420276106857,0.9995155038759691,0.999576805621765,43.782479763031006
19,0.00025,0.0014862601955382114,0.001720649467959081,0.999582916249583,0.9996128515633756,0.9992492492492493,0.9996614180350513,0.9995731819859728,0.999616410019373,42.17441940307617
20,0.000125,0.0025728849106418966,0.004048885722638559,0.9991658324991658,0.9992132514194899,0.9992492492492493,0.9996614180350513,0.9995731819859728,0.999616410019373,41.641759157180786
